Episode,Score,MaxTile,Steps,Time
952,500,64,72,1.62
953,288,32,54,1.17
954,588,64,77,1.61
955,1236,128,134,2.81
956,404,32,67,1.41
957,1056,64,126,2.56
958,748,64,100,2.03
959,700,64,93,1.99
960,1176,128,129,2.70
961,1148,128,115,2.42
962,724,64,95,2.09
963,876,64,106,2.28
964,664,64,86,1.66
965,856,64,111,2.20
966,2968,256,241,4.99
967,1280,128,139,2.99
968,1144,64,134,2.91
969,516,64,75,1.54
970,676,64,90,1.90
971,620,64,84,1.89
972,632,64,85,1.74
973,1816,128,169,3.44
974,1276,128,133,2.84
975,1072,128,112,2.30
976,688,64,91,1.94
977,1468,128,155,3.31
978,296,32,54,1.03
979,676,64,94,1.91
980,1480,128,156,3.33
981,1428,128,146,3.19
982,1408,128,149,3.15
983,540,32,87,1.77
984,624,64,86,1.81
985,1012,128,110,2.26
986,736,64,100,2.12
987,1192,128,120,2.48
988,656,64,87,1.77
989,1352,128,141,3.06
990,1408,128,148,3.06
991,1316,128,143,3.01
992,2196,256,179,3.70
993,416,32,70,1.32
994,1120,64,128,2.83
995,300,32,58,1.20
996,764,64,93,1.85
997,1104,128,118,2.48
998,584,64,80,1.70
999,764,64,105,2.11
